lat,lon,pga_475_median,pga_475_84,pga_475_mean,pga_975_median,pga_975_84,pga_975_mean,pga_2475_median,pga_2475_84,pga_2475_mean
47.6,11.3,0.5353,0.8138,0.6145,0.792,1.1742,0.9114,1.2379,1.8737,1.4253
47.6,11.4,0.5433,0.8138,0.618,0.7968,1.1653,0.9148,1.2514,1.8186,1.4291
47.6,11.5,0.5433,0.8433,0.6267,0.7969,1.1943,0.9266,1.2515,1.8265,1.4445
47.6,11.6,0.549,0.861,0.6389,0.8258,1.2324,0.9451,1.2915,1.8849,1.4708
47.6,11.7,0.564,0.874,0.6536,0.8259,1.2449,0.9686,1.2916,1.9428,1.5062
47.6,11.8,0.5681,0.8958,0.6703,0.8488,1.2867,0.998,1.333,2.0076,1.5547
47.6,11.9,0.5855,0.932,0.6853,0.8751,1.3488,1.0251,1.3858,2.1366,1.6167
47.6,12,0.5972,0.9696,0.6962,0.8869,1.4083,1.0489,1.3965,2.2388,1.6782
47.6,12.1,0.5971,0.9695,0.7017,0.9103,1.4488,1.0599,1.4193,2.319,1.7037
47.6,12.2,0.549,0.8958,0.6496,0.833,1.3211,0.9837,1.3203,2.1365,1.5684
47.6,12.3,0.5263,0.8609,0.6165,0.7968,1.2583,0.9265,1.2514,2.0067,1.4688
47.6,12.4,0.5047,0.8274,0.6042,0.7689,1.2154,0.9083,1.2238,1.9395,1.4422
47.6,12.5,0.5041,0.7645,0.5719,0.7468,1.1342,0.8643,1.2238,1.81,1.3871
47.6,12.6,0.4838,0.7645,0.5589,0.7468,1.1343,0.8499,1.2239,1.8101,1.3757
47.6,12.7,0.5047,0.7953,0.5732,0.7689,1.1841,0.8761,1.2362,1.9365,1.4226
47.6,12.8,0.5042,0.7954,0.5636,0.7468,1.1841,0.8603,1.2238,1.9367,1.3998
47.6,12.9,0.485,0.7954,0.5581,0.742,1.1842,0.8515,1.1842,1.9368,1.3886
47.6,13,0.5042,0.7954,0.5581,0.7443,1.1842,0.8507,1.1986,1.9368,1.3881
47.6,13.1,0.5042,0.7954,0.5602,0.742,1.1842,0.8535,1.1841,1.9368,1.3924
47.7,7.4,0.8082,1.2228,0.9368,1.2282,1.8258,1.3848,2.0069,2.8686,2.2301
47.7,7.5,0.8835,1.3207,1.0206,1.3211,1.972,1.4998,2.1266,3.1026,2.3969
47.7,7.6,0.8836,1.4,1.0553,1.3417,2.0434,1.5652,2.189,3.21,2.5048
47.7,7.7,0.845,1.3608,1.0103,1.2738,2.0085,1.4982,2.0711,3.1089,2.4135
47.7,7.8,0.7729,1.1666,0.8876,1.1741,1.7056,1.3155,1.8737,2.7219,2.1253
47.7,7.9,0.6496,1.0082,0.762,1.0221,1.4739,1.1336,1.6312,2.3776,1.8188
47.7,8,0.5778,0.8958,0.6748,0.8813,1.3029,1.0103,1.408,2.0772,1.6072
47.7,8.1,0.5264,0.8275,0.6193,0.8084,1.2156,0.9292,1.3072,1.9398,1.4841
47.7,8.2,0.5047,0.7853,0.5859,0.7689,1.1342,0.8793,1.2362,1.81,1.4075
47.7,8.3,0.4837,0.7578,0.5684,0.742,1.0956,0.8534,1.1841,1.7483,1.3655
47.7,8.4,0.4837,0.7578,0.5617,0.7178,1.0909,0.844,1.1794,1.7025,1.3497
47.7,8.5,0.4663,0.7609,0.5599,0.716,1.1063,0.8407,1.1457,1.7089,1.3416
47.7,8.6,0.4837,0.7645,0.5623,0.716,1.1213,0.843,1.1457,1.715,1.3419
47.7,8.7,0.4838,0.7645,0.5683,0.7399,1.1274,0.8507,1.1606,1.7595,1.3508
